City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Mattru,SL,2022-02-01 13:28:48,7.6244,-11.8332,97.16,23,94,4.79
134,Great Yarmouth,GB,2022-02-01 13:28:49,52.6083,1.7305,57.31,74,64,28.7
135,Were Ilu,ET,2022-02-01 13:28:49,10.6,39.4333,68.85,24,25,7.31
136,Nikki,BJ,2022-02-01 13:28:49,9.9401,3.2108,89.31,8,2,4.63
137,Lucapa,AO,2022-02-01 13:28:50,-8.4192,20.7447,77.02,76,100,2.35
138,Sinnamary,GF,2022-02-01 13:29:50,5.3833,-52.95,79.54,81,7,8.5
139,Ancud,CL,2022-02-01 13:23:06,-41.8697,-73.8203,61.43,82,78,6.02
140,Berberati,CF,2022-02-01 13:29:50,4.2612,15.7922,99.09,11,88,0.72
141,Provideniya,RU,2022-02-01 13:29:51,64.3833,-173.3,4.57,67,41,24.2
142,Montescaglioso,IT,2022-02-01 13:29:51,40.5522,16.6669,49.62,54,100,25.5
143,Tasiilaq,GL,2022-02-01 13:29:51,65.6145,-37.6368,12.36,78,91,4.9
144,Sao Filipe,CV,2022-02-01 13:29:51,14.8961,-24.4956,76.93,67,100,4.79
145,Coquimbo,CL,2022-02-01 13:28:39,-29.9533,-71.3436,64.13,77,100,2.3
146,Hithadhoo,MV,2022-02-01 13:29:52,-0.6,73.0833,83.19,70,14,12.01
147,Nishihara,JP,2022-02-01 13:29:52,26.1842,127.7558,63.68,68,75,11.5
148,Namatanai,PG,2022-02-01 13:29:52,-3.6667,152.4333,77.56,86,99,5.01
149,Arraial Do Cabo,BR,2022-02-01 13:29:53,-22.9661,-42.0278,85.96,66,75,8.05
150,Nanortalik,GL,2022-02-01 13:29:53,60.1432,-45.2371,15.24,79,20,8.79
151,Bengkulu,ID,2022-02-01 13:29:53,-3.8004,102.2655,78.26,87,100,5.23
152,Talaya,RU,2022-02-01 13:29:54,61.3833,152.75,-7.71,95,100,5.86
153,Axim,GH,2022-02-01 13:29:54,4.8699,-2.2405,88.05,53,6,8.75
154,Yerbogachen,RU,2022-02-01 13:29:54,61.2767,108.0108,-25.6,100,51,2.37
155,Orangeburg,US,2022-02-01 13:29:54,33.4918,-80.8557,38.82,77,0,9.22
156,Pevek,RU,2022-02-01 13:29:55,69.7008,170.3133,-16.2,94,86,2.73
157,Aswan,EG,2022-02-01 13:29:55,24.0934,32.907,69.26,25,0,7.07
158,Tiksi,RU,2022-02-01 13:29:55,71.6872,128.8694,-14.46,100,100,2.57
159,Indian Head,US,2022-02-01 13:29:56,38.6001,-77.1622,29.19,75,0,1.99
160,Medina,SA,2022-02-01 13:29:56,24.4686,39.6142,70.23,11,0,5.75
161,Kodiak,US,2022-02-01 13:29:56,57.79,-152.4072,35.11,93,100,16.11
162,Hermanus,ZA,2022-02-01 13:29:56,-34.4187,19.2345,86.9,75,0,9.86
163,Comodoro Rivadavia,AR,2022-02-01 13:24:25,-45.8667,-67.5,75.06,31,0,18.41
