City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Goalpara,IN,26.1667,90.6167,55.99,82,12,0.25,few clouds
322,Uyskoye,RU,54.3775,60.0047,14.04,97,100,2.19,overcast clouds
323,Sambava,MG,-14.2667,50.1667,76.57,89,100,6.29,light rain
324,Port Blair,IN,11.6667,92.75,80.64,83,40,5.75,mist
325,Chokurdakh,RU,70.6333,147.9167,-32.15,100,100,1.86,overcast clouds
326,Hit,IQ,33.6416,42.8251,55.98,48,72,6.4,broken clouds
327,Uruzgan,AF,32.8333,66.0,43.56,49,84,4.27,broken clouds
328,Winslow,US,35.0242,-110.6974,26.96,35,0,0.0,clear sky
329,Nishihara,JP,26.1842,127.7558,56.86,62,75,19.57,broken clouds
330,Skibbereen,IE,51.55,-9.2667,51.6,81,100,31.99,overcast clouds
331,Negombo,LK,7.2083,79.8358,80.65,89,0,0.0,clear sky
332,Poum,NC,-20.2333,164.0167,80.44,72,87,5.35,overcast clouds
333,Guadalupe,MX,25.6833,-100.25,60.39,46,0,5.75,clear sky
334,Pasni,PK,25.2631,63.471,72.14,73,20,10.83,few clouds
335,Conceicao Do Castelo,BR,-20.3683,-41.2439,76.84,84,100,4.41,overcast clouds
336,Nouadhibou,MR,20.931,-17.0347,73.38,64,0,14.97,clear sky
337,Chernyshevskiy,RU,63.0128,112.4714,-9.08,99,95,2.64,overcast clouds
338,Rantepao,ID,-2.9701,119.8978,68.97,97,100,1.9,very heavy rain
339,Saint George,US,37.1041,-113.5841,46.35,46,0,0.0,clear sky
340,Pa Daet,TH,19.5049,99.9924,68.02,97,26,1.88,scattered clouds
341,Xining,CN,36.6167,101.7667,12.9,89,100,3.8,light snow
342,Neiafu,TO,-18.65,-173.9833,77.68,94,100,5.75,overcast clouds
343,Bathsheba,BB,13.2167,-59.5167,83.01,57,20,18.41,few clouds
344,Janesville,US,42.6828,-89.0187,13.17,74,100,1.99,overcast clouds
345,Tadine,NC,-21.55,167.8833,79.07,88,94,4.03,moderate rain
