City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Oron,NG,85.3,clear sky,4.8256,8.2343,Aqua Belloni Lodge
180,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
181,Am Timan,TD,83.37,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
182,Basco,PH,72.1,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
184,Concepcion Del Uruguay,AR,79.99,clear sky,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
185,Cidreira,BR,86.92,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
188,Sibolga,ID,75.7,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
189,Santa Isabel Do Rio Negro,BR,79.7,overcast clouds,-0.4139,-65.0192,Hotel GSA
190,The Valley,AI,82.26,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
191,Auki,SB,79.23,broken clouds,-8.7676,160.7034,Auki Motel
199,Vao,NC,79.68,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
201,Port Alfred,ZA,70.27,overcast clouds,-33.5906,26.891,The Halyards Hotel
203,Richards Bay,ZA,72.82,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
205,Winneba,GH,88.27,few clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
210,Nampula,MZ,84.15,few clouds,-15.1165,39.2666,BUTIK Hotel
211,Maumere,ID,79.38,light rain,-8.6199,122.2111,Sylvia Hotel
215,Primero De Enero,CU,78.66,clear sky,21.9469,-78.4283,Motel Dos Palmas (Maria Machete)
217,Macae,BR,89.47,scattered clouds,-22.3708,-41.7869,Personal Hotel
218,Kisangani,CD,76.53,overcast clouds,0.5167,25.2,Grand Ramela Hotel
221,Luwuk,ID,76.82,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
223,Bengkulu,ID,74.48,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
227,Mildura,AU,71.56,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
238,Anito,PH,76.98,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
246,Namibe,AO,76.08,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
256,Pijijiapan,MX,83.93,clear sky,15.7011,-93.23,Hotel Rosita
257,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
260,Fare,PF,80.55,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
261,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
263,Manokwari,ID,78.62,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
264,Kavaratti,IN,78.98,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
266,Bernal,PE,86.58,overcast clouds,-5.45,-80.75,Plaza de Armas Bellavista de La Unión
270,Coahuayana,MX,80.08,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
280,Sola,VU,82.24,overcast clouds,-13.8833,167.55,Leumerus Bungalows
